Color Matrix:
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, FF0000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, 000000, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ, ZZZZZZ
