Matrix Size:
4, 7
Color Matrix:
ZZZZZZ, FF00FF, FFFF00, 000000, 00FFFF, FFFF00, ZZZZZZ
00FF00, 000000, FF0000, FF00FF, 00FFFF, 0000FF, 000000
000000, 0000FF, 000000, FF0000, 000000, 0000FF, 00FFFF
ZZZZZZ, FFFF00, FF00FF, 000000, 00FF00, 000000, ZZZZZZ
Edges:
(0,1), - ,(0,2)
(0,2), + ,(0,3)
(0,3), + ,(0,4)
(0,4), - ,(0,5)
(1,0), + ,(1,1)
(1,1), + ,(0,1)
(1,1), + ,(1,2)
(1,2), - ,(1,3)
(1,3), + ,(0,3)
(1,3), - ,(1,4)
(1,5), + ,(0,5)
(1,5), + ,(1,6)
(2,0), + ,(1,0)
(2,0), + ,(2,1)
(2,1), + ,(1,1)
(2,1), + ,(2,2)
(2,2), + ,(1,2)
(2,3), + ,(2,4)
(2,4), + ,(1,4)
(2,4), + ,(2,5)
(2,5), - ,(2,6)
(2,6), + ,(1,6)
(3,1), + ,(2,1)
(3,1), - ,(3,2)
(3,2), + ,(3,3)
(3,3), + ,(2,3)
(3,3), + ,(3,4)
(3,4), + ,(3,5)
(3,5), + ,(2,5)
